koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CANDIDATE,75.8580035,1148.4,5.382,0.040531,16.1
CANDIDATE,10.16435076,37.7,6.017,0.00674,18.4
CANDIDATE,237.787237,1627.7,10.509,0.048997,92.3
CANDIDATE,0.698461304,134.4,0.7887,0.010803,16.1
CANDIDATE,110.7556272,8067.0,6.819,0.101746,48.5
CANDIDATE,14.4079035,3058.0,2.524,0.294294,7.7
CANDIDATE,7.0956395,108.1,3.465,0.009348,10.5
CANDIDATE,79.2450351,1347.3,5.382,0.033253,14.4
CANDIDATE,126.4451275,3252.5,16.7151,0.051738,110.9
CANDIDATE,5.77207177,328.5,2.605,0.016375,13.2
CANDIDATE,46.151253,649.0,5.346,0.024756,17.1
CANDIDATE,165.3447044,4899.0,3.09,0.078728,48.0
CANDIDATE,97.4463194,2141.1,6.765,0.04074,62.8
CANDIDATE,174.636181,2500.9,15.679,0.045604,37.1
CANDIDATE,1.791877025,46.1,1.166,0.006353,12.5
CANDIDATE,145.881936,156.9,11.342,0.011555,11.2
CANDIDATE,2.50343279,1156.0,1.534,0.220575,13.2
CANDIDATE,96.4562198,950.5,11.195,0.030816,54.6
CANDIDATE,44.5643831,360.5,7.874,0.019632,27.0
CANDIDATE,253.374581,1104.0,22.889,0.02963,99.9
CANDIDATE,21.1181653,112.7,9.734,0.01031,26.3
CANDIDATE,5.06092282,71.6,2.586,0.009874,15.7
CANDIDATE,0.910020582,358.1,1.7956,0.019204,29.9
CANDIDATE,1.07808492,155.6,0.8551,0.011362,22.9
CANDIDATE,11.1916199,166.4,2.1,0.014113,11.9
CANDIDATE,174.731515,1179.9,8.257,0.030591,16.5
CANDIDATE,0.858546796,106.1,1.1,0.009355,12.2
CANDIDATE,5.518195,27.1,1.81,0.004772,5.2
CANDIDATE,75.1122132,3751.5,4.9458,0.063426,384.0
CANDIDATE,3.76562031,232.6,1.288,0.208191,14.6
CANDIDATE,2.46288834,47.4,1.724,0.006346,11.9
CANDIDATE,10.9192653,91.1,4.572,0.008821,15.0
CANDIDATE,4.21223579,116.4,7.898,0.013564,12.8
CANDIDATE,1.951082219,1151.8,1.6975,0.039073,30.1
CANDIDATE,23.1375919,114.0,3.35,0.009941,12.9
CANDIDATE,18.9763286,329.8,2.379,0.020761,11.0
CANDIDATE,6.34724702,159.8,3.097,0.012538,11.1
CANDIDATE,10.76800074,65.1,3.494,0.007669,14.2
CANDIDATE,4.32848303,35.5,2.955,0.005511,11.4
CANDIDATE,46.15119482,1817.3,6.3427,0.046727,286.0
CANDIDATE,4.780327581,960.8,2.0253,0.036574,380.8
CANDIDATE,7.64809462,195.9,2.216,0.012788,12.2
CANDIDATE,31.0209175,859.5,2.012,0.031742,15.1
CANDIDATE,2.118893997,311.4,0.822,0.016174,11.3
CANDIDATE,7.49133777,34.5,6.315,0.005396,14.4
CANDIDATE,5.4654174,219.5,3.209,0.013557,14.2
CANDIDATE,6.06664931,65.3,1.962,0.008919,10.9
CANDIDATE,2.184437698,1546.8,1.0422,0.034479,19.7
CANDIDATE,15.2311195,269.1,3.91,0.014945,13.1
CANDIDATE,4.8099878,288.2,1.97,0.015608,13.6
CANDIDATE,5.08288076,108.0,2.515,0.009687,12.5
CANDIDATE,31.0259489,385.4,5.692,0.018009,12.7
CANDIDATE,3.08942807,85.3,3.214,0.008903,13.2
CANDIDATE,21.2360024,104.4,4.019,0.009391,15.7
CANDIDATE,14.591504451,1490.5,1.1295,0.257211,68.0
CANDIDATE,1.242639742,159.3,1.763,0.011446,16.1
CANDIDATE,0.536650319,41.9,2.383,0.006191,31.0
CANDIDATE,6.09595681,65.7,5.502,0.007881,18.1
CANDIDATE,13.2511214,266.5,4.996,0.014901,15.2
CANDIDATE,11.682369,234.5,2.71,0.014968,11.2
CANDIDATE,10.12956201,81.3,3.044,0.008451,12.2
CANDIDATE,21.61313362,818.1,1.52,0.028166,13.8
CANDIDATE,27.9430245,308.6,6.125,0.016161,12.3
CANDIDATE,0.977311489,250.7,1.403,0.014052,14.8
CANDIDATE,0.896382269,136.4,1.113,0.010913,11.7
CANDIDATE,11.45541896,68.6,4.95,0.007587,15.8
CANDIDATE,44.433726,239.6,6.118,0.01478,8.0
CANDIDATE,3.91679553,161.3,2.072,0.011285,13.2
CANDIDATE,43.1024434,299.8,7.124,0.015664,14.3
CANDIDATE,31.4452709,531.1,1.758,0.028295,12.7
CANDIDATE,8.85686712,319.2,0.606,0.021548,11.9
CANDIDATE,12.99065074,392.3,2.3748,0.018005,42.5
CANDIDATE,82.6595174,1270.7,3.48,0.033535,17.1
CANDIDATE,24.3367026,551.1,2.539,0.022134,13.4
CANDIDATE,7.40985182,201.1,1.131,0.012934,13.5
CANDIDATE,15.5943758,95.4,7.367,0.009192,11.9
CANDIDATE,75.731195,2496.0,4.859,0.056351,16.3
CANDIDATE,152.1060435,3688.3,7.4517,0.064635,116.3
CANDIDATE,7.25101997,122.8,2.799,0.010066,12.2
CANDIDATE,57.3840375,241.7,4.336,0.018721,22.9
CANDIDATE,2.5738437,46.6,1.92,0.006083,10.9
CANDIDATE,10.18318233,51.5,3.137,0.006649,11.2
CANDIDATE,6.2321233,31.7,2.85,0.005154,8.5
CANDIDATE,8.2942929,36.8,3.976,0.005482,10.1
CANDIDATE,12.82993461,1417.4,2.942,0.035889,79.6
CANDIDATE,809.0141881,16311.0,8.3017,0.125784,212.9
CANDIDATE,2.47240869,47.5,1.87,0.006282,9.0
CANDIDATE,11.53029332,1209.3,1.8385,0.031664,57.6
CANDIDATE,7.9069765,126.1,4.634,0.010353,8.3
CANDIDATE,13.9509565,35.7,5.231,0.00557,11.2
CANDIDATE,16.30141333,942.3,3.5764,0.030924,62.4
CANDIDATE,3.687469832,5057.6,1.0668,0.087283,363.9
CANDIDATE,84.799829,56.1,15.21,0.007581,14.4
CANDIDATE,9.340538,200.8,2.57,0.012708,11.1
CANDIDATE,11.505879,49.8,5.583,0.006463,12.5
CANDIDATE,934.09418462,8709.6,17.489,0.086844,135.5
CANDIDATE,199.83920527,44490.0,4.378,0.226393,590.6
CANDIDATE,15.84132627,31083.0,1.8215,0.219737,135.8
CANDIDATE,20.605501,37.1,3.793,0.005962,11.1
CANDIDATE,9.5539134,26.8,5.261,0.004735,13.1
CANDIDATE,6.77067637,65.8,5.982,0.00746,19.6
CANDIDATE,0.589376952,80.7,1.71,0.008399,11.4
CANDIDATE,1.74610057,54.2,1.299,0.006491,9.2
CANDIDATE,24.7962801,574.4,8.33,0.021704,43.6
CANDIDATE,6.93650854,88.7,3.674,0.008773,11.3
CANDIDATE,18.3848331,151.8,3.545,0.012082,10.3
CANDIDATE,2.2165905,28.7,1.0,0.005287,2.8
CANDIDATE,3.65849707,4398.0,2.573,0.073444,47.0
CANDIDATE,2.433703498,258.3,0.975,0.019596,10.2
CANDIDATE,7.9788198,83.8,2.874,0.008249,8.3
CANDIDATE,10.52286678,130.2,1.911,0.13197,10.1
