koi_disposition,koi_period,koi_depth,koi_duration,koi_ror,koi_model_snr
CONFIRMED,17.46087931,812.4,2.2641,0.026969,22.6
CONFIRMED,56.0560754,1626.0,4.685,0.036134,27.4
CONFIRMED,41.408316686,22839.0,5.0264,0.139516,907.8
CONFIRMED,5.715425977,908.1,2.5242,0.027348,59.4
CONFIRMED,49.18394185,1646.2,11.3364,0.036501,355.7
CONFIRMED,20.0261412,421.2,1.611,0.025305,10.7
FALSE POSITIVE,10.44331991,1159.8,2.743,0.030416,51.7
CONFIRMED,2.237489571,315.8,1.8119,0.015942,30.7
FALSE POSITIVE,5.851520671,33004.0,3.11058,0.166109,1630.4
CONFIRMED,3.167893418,781.2,2.1814,0.025513,64.8
CONFIRMED,4.311780262,1154.0,2.7251,0.030716,86.1
CONFIRMED,20.0504494,840.9,4.556,0.026569,37.8
CONFIRMED,9.76734503,569.1,1.6585,0.026407,21.1
CONFIRMED,190.3200468,1141.7,15.284,0.034654,139.3
FALSE POSITIVE,2.861159894,1014.3,1.8832,0.039171,58.3
CONFIRMED,26.44439337,1843.5,3.9783,0.038511,88.0
CONFIRMED,51.53997972,3644.3,6.3994,0.05435,155.5
CONFIRMED,5.902245782,702.3,2.9003,0.023909,59.3
CONFIRMED,2.382951591,391.6,1.8876,0.018369,41.4
CONFIRMED,21.02250608,1772.5,4.1072,0.037466,62.4
CONFIRMED,3.219814777,488.2,2.0642,0.019702,30.5
CONFIRMED,5.912273234,961.4,2.3254,0.027826,62.8
CONFIRMED,8.98581901,881.3,2.8606,0.026527,51.8
FALSE POSITIVE,20.5452375,218.5,2.517,0.017424,18.5
CONFIRMED,33.60123371,7425.9,4.4056,0.083298,247.9
CONFIRMED,6.76652928,450.7,2.9004,0.019382,29.2
CONFIRMED,4.347288783,451.6,2.1024,0.019273,39.7
CONFIRMED,4.601811819,755.9,2.2607,0.02579,60.8
CONFIRMED,11.18719905,353.6,3.252,0.017042,21.9
CONFIRMED,4.220965778,2260.0,3.0854,0.046401,157.8
FALSE POSITIVE,6.998099523,20285.0,2.0488,6.502574,192.3
CONFIRMED,5.95489993,1410.7,2.3892,0.033728,87.2
CONFIRMED,12.03987488,1250.6,2.7363,0.031605,57.6
CONFIRMED,20.83762895,439.0,2.3734,0.020532,14.9
FALSE POSITIVE,8.8111022,401.1,5.0683,0.242511,76.8
CONFIRMED,23.58917143,1200.7,5.073,0.040151,53.3
CONFIRMED,6.481633073,298.5,3.784,0.017836,125.6
CONFIRMED,10.37168928,1254.9,3.035,0.033023,64.5
CONFIRMED,3.96996298,299.2,1.1757,0.018305,15.0
CONFIRMED,4.40841331,549.4,5.012,0.025379,45.1
FALSE POSITIVE,7.9426176,1590.7,6.703,0.046289,60.4
CONFIRMED,226.8904775,3136.4,7.558,0.055361,46.8
FALSE POSITIVE,1.956811408,24905.0,2.1958,0.327759,125.4
CONFIRMED,9.439459486,3036.1,2.8979,0.048953,175.2
CONFIRMED,11.523067458,507.3,3.8757,0.020288,142.0
CONFIRMED,20.47748843,1382.4,2.8364,0.034376,52.7
CONFIRMED,3.336123113,516.3,1.9616,0.020396,41.6
CONFIRMED,8.01078456,1333.6,2.312,0.03347,48.5
CONFIRMED,12.07134205,759.2,4.3224,0.025158,31.0
CONFIRMED,20.99587872,767.3,2.6333,0.025412,18.2
CONFIRMED,7.41113177,620.5,2.5242,0.024438,50.4
FALSE POSITIVE,1.000747038,1823.5,0.9967,0.047993,147.4
CONFIRMED,8.884922995,16053.0,2.07004,0.114124,388.2
CONFIRMED,8.09888906,6911.1,4.20241,0.076211,435.9
CONFIRMED,10.00653012,936.1,5.344,0.032174,71.9
CONFIRMED,17.855221681,9065.2,7.41287,0.08815,915.7
CONFIRMED,5.007316661,6932.3,4.2362,0.077106,431.4
CONFIRMED,2.211116989,724.2,1.6485,0.026289,42.6
CONFIRMED,27.9541337,942.5,3.95,0.026973,25.4
CONFIRMED,12.69104387,252.1,3.7727,0.014487,60.2
FALSE POSITIVE,4.409409243,12861.0,3.8636,0.10287,85.8
CONFIRMED,16.23947096,2590.7,4.0374,0.045252,123.8
CONFIRMED,6.308201629,1328.5,2.9785,0.032418,86.2
CONFIRMED,2.052349884,14281.0,2.0778,0.11123,1072.1
CONFIRMED,9.7704486,1897.8,2.4517,0.040133,58.0
CONFIRMED,5.169804269,1037.4,2.153,0.029936,41.4
CONFIRMED,21.22261195,366.0,6.5093,0.01746,114.9
CONFIRMED,20.09017037,1432.1,4.154,0.040437,36.9
CONFIRMED,7.11373257,807.6,2.1764,0.025862,44.4
CONFIRMED,3.306551643,509.2,1.8177,0.020275,37.8
CONFIRMED,15.36845737,756.1,2.4714,0.02471,30.9
CONFIRMED,13.81020318,1309.7,3.048,0.036595,46.2
CONFIRMED,4.093578461,538.6,2.5833,0.026123,36.4
CONFIRMED,105.145959,685.4,8.593,0.031397,15.4
CONFIRMED,10.8484518,1675.6,2.9993,0.036303,64.5
